x,y
0.010792642776929309, 111.71180517031452
0.012590321940393834, 118.88165941281024
0.014687431970009386, 126.54067684534101
0.01713384764066691, 134.0005466632754
0.01993184060733583, 142.11168012051704
0.023448011680987736, 150.78286434254127
0.027455988964315874, 159.3571491494456
0.03213404568533922, 168.4661816124074
0.03764430047370784, 177.73468233692108
0.043859894720648336, 186.54417763189218
0.05108586704256386, 196.01349797292718
0.05934511962521002, 204.67635482054385
0.07083192093472244, 215.1824749096273
0.08253367166054373, 223.90379647052103
0.09684442649610563, 232.571184061413
0.11350401149180162, 242.54850927105662
0.13427738741960332, 251.89354878059038
0.1586056689369005, 261.0497880274381
0.186179188876288, 269.5935014641335
0.21617856025114549, 276.95879153868964
0.2526914812832889, 283.38932791498735
0.2962593087128887, 290.36094394136614
0.35792137580603484, 297.77197612125576
0.4309060654759373, 304.89151975943804
0.5059594624841087, 309.244695083941
0.5778483816986392, 312.37804867591933
0.6816933312568133, 314.7048135621079
0.927699047785235, 320.24095532420716
1.0671697449159139, 319.8132280123578
1.4727675574625494, 314.96530138192946
1.7718422284532012, 311.9846498190986
2.1197411537756987, 307.83085241102907
2.4598627413134806, 301.78571980162417
2.8847016095688685, 295.5628794127563
3.369909155131431, 289.9952727173605
4.037236963747592, 283.1343596020251
4.820932000343341, 279.00220082094125
5.650248971118326, 275.5083826876096
6.703101332022676, 271.60158332331133
7.770476112914143, 265.4265828672343
9.096562802640236, 259.22858778705637
10.611733993556404, 252.9216664462353
12.3792800416127, 246.90957929498413
14.44123782613885, 240.62655413150787
16.846646109472406, 235.17599223163336
19.652711807301024, 229.3228663966612
22.766181747138315, 223.97434631744974
26.744873675700347, 218.17494681231219
31.068822348129252, 212.83026716581725
36.396415667350134, 206.61996451113927
43.05764653615527, 199.86831942509124
50.22955388134484, 193.3372953786207
58.59605171407531, 186.69858418697999
68.54786206569099, 179.3094384837924
79.24703527090092, 171.75301799473309
93.02409457669958, 163.93495203048826
108.51867546639197, 155.9656915244779
126.5941149824405, 147.0301382654459
147.68029446830633, 138.0518741736095
172.27869855775518, 128.43932707311797
192.7048730125345, 121.55334325539347
